"filename", "language", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "XML", "JSON with Comments", "Markdown", "Properties", "CSS", "comment", "blank", "total"
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_notifications_page_tsx_f0d8665b._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_007dd218._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_10129093._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_13a3d029._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_1788e26c._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_1c638299._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_204d4c62._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_21438492._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_7be47469._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(dashBoard)_page_tsx_811bc66b._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
