"filename", "language", "JSON", "TypeScript", "Markdown", "JSON with Comments", "JavaScript", "XML", "Properties", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\app-build-manifest.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\app-paths-manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\build-manifest.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\next-font-manifest.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\react-loadable-manifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\server-reference-manifest.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\friends\add\page.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\friends\add\page\app-build-manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\friends\add\page\app-paths-manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\friends\add\page\build-manifest.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
